symbol	scope_symbol_days	open_days_in_scope	early_close_days_in_scope	expected_1m_slots_calendar	stock_days_present	quote_days_present	trade_days_present	enrich_days_present	stock_1m_slots	quote_1m_slots	trade_1m_slots	enrich_1m_slots	stock_slot_cov_pct	quote_slot_cov_pct	trade_slot_cov_pct	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	missing_stock_slots	missing_quote_slots	missing_trade_slots	missing_enrich_vs_trade_slots	stock_rows	quote_rows	trade_rows	enrich_rows
ICE	86	84	2	34556	85	85	85	85	34150	16409	8896	8896	98.83	47.49	25.74	25.74	100	406	18147	25660	0	34150	5478656	26488	22278
INTC	86	84	2	34556	85	85	85	85	34120	33152	32793	32793	98.74	95.94	94.9	94.9	100	436	1404	1763	0	34120	17752375	4399127	2684902
JNJ	86	84	2	34556	85	85	85	85	34135	32783	32231	32231	98.78	94.87	93.27	93.27	100	421	1773	2325	0	34135	15281457	397010	298718
JPM	86	84	2	34556	85	85	85	85	34135	33162	32781	32781	98.78	95.97	94.86	94.86	100	421	1394	1775	0	34135	28363691	1258334	851507
KEY	86	84	2	34556	85	85	85	85	34135	20332	14670	14670	98.78	58.84	42.45	42.45	100	421	14224	19886	0	34135	6405596	44502	38634
KHC	86	84	2	34556	85	85	85	85	34150	30842	29092	29092	98.83	89.25	84.19	84.19	100	406	3714	5464	0	34150	7452063	179854	131767
KO	86	84	2	34556	85	85	85	85	34135	33063	32641	32641	98.78	95.68	94.46	94.46	100	421	1493	1915	0	34135	10862016	635036	461984
LLY	86	84	2	34556	85	85	85	85	34135	33129	32773	32773	98.78	95.87	94.84	94.84	100	421	1427	1783	0	34135	47778989	1419036	1126397
LMT	86	84	2	34556	85	85	85	85	34135	31594	30206	30206	98.78	91.43	87.41	87.41	100	421	2962	4350	0	34135	24451043	255415	179837
LOW	86	84	2	34556	85	85	85	85	34135	28486	25949	25949	98.78	82.43	75.09	75.09	100	421	6070	8607	0	34135	16642106	148769	120799
MA	86	84	2	34556	85	85	85	85	34120	32107	30976	30976	98.74	92.91	89.64	89.64	100	436	2449	3580	0	34120	32479838	305514	222481
MCD	86	84	2	34556	85	85	85	85	34120	32454	31678	31678	98.74	93.92	91.67	91.67	100	436	2102	2878	0	34120	22360964	341723	278096
META	86	84	2	34556	85	85	85	85	34135	33172	32797	32797	98.78	95.99	94.91	94.91	100	421	1384	1759	0	34135	91054631	10261406	7483336
MMM	86	84	2	34556	85	85	85	85	34135	28670	26104	26104	98.78	82.97	75.54	75.54	100	421	5886	8452	0	34135	11943293	136608	98394
MO	86	84	2	34556	85	85	85	85	34135	32088	30886	30886	98.78	92.86	89.38	89.38	100	421	2468	3670	0	34135	10579188	252638	184957
MPC	86	84	2	34556	85	85	85	85	34150	22359	15649	15649	98.83	64.7	45.29	45.29	100	406	12197	18907	0	34150	8950361	49063	43314
MRK	86	84	2	34556	85	85	85	85	34135	32908	32455	32455	98.78	95.23	93.92	93.92	100	421	1648	2101	0	34135	14216743	580298	494772
MS	86	84	2	34556	85	85	85	85	34120	32002	30677	30677	98.74	92.61	88.77	88.77	100	436	2554	3879	0	34120	18431011	287105	194688
MSFT	86	84	2	34556	85	85	85	85	34135	33169	32798	32798	98.78	95.99	94.91	94.91	100	421	1387	1758	0	34135	44158300	8141467	5895977
MU	86	84	2	34556	85	85	85	85	34150	33115	32796	32796	98.83	95.83	94.91	94.91	100	406	1441	1760	0	34150	22575273	6451744	4178279
NFLX	86	84	2	34556	85	85	85	85	34150	33194	32801	32801	98.83	96.06	94.92	94.92	100	406	1362	1755	0	34150	82467014	5776984	3951473
NKE	86	84	2	34556	85	85	85	85	34135	33137	32778	32778	98.78	95.89	94.85	94.85	100	421	1419	1778	0	34135	16777683	1155011	816253
NOC	86	84	2	34556	85	85	85	85	34135	21486	13655	13655	98.78	62.18	39.52	39.52	100	421	13070	20901	0	34135	16605997	42155	30358
NOW	86	84	2	34556	85	85	85	85	34150	32571	31733	31733	98.83	94.26	91.83	91.83	100	406	1985	2823	0	34150	37096800	740294	489851
NVDA	86	84	2	34556	85	85	85	85	34135	33744	32818	32818	98.78	97.65	94.97	94.97	100	421	812	1738	0	34135	60257161	27708684	22518066
ORCL	86	84	2	34556	85	85	85	85	34150	33086	32674	32674	98.83	95.75	94.55	94.55	100	406	1470	1882	0	34150	29273683	4607067	3610495
OXY	86	84	2	34556	85	85	85	85	34150	32977	32464	32464	98.83	95.43	93.95	93.95	100	406	1579	2092	0	34150	10752277	561118	401601
PEP	86	84	2	34556	85	85	85	85	34120	32708	32046	32046	98.74	94.65	92.74	92.74	100	436	1848	2510	0	34120	14889348	377018	272759
PFE	86	84	2	34556	85	85	85	85	34120	33074	32696	32696	98.74	95.71	94.62	94.62	100	436	1482	1860	0	34120	10379489	998853	786513
PG	86	84	2	34556	85	85	85	85	34150	32836	32118	32118	98.83	95.02	92.94	92.94	100	406	1720	2438	0	34150	14884765	416215	309027
PLTR	86	84	2	34556	85	85	85	85	34135	33171	32797	32797	98.78	95.99	94.91	94.91	100	421	1385	1759	0	34135	35225396	10142736	7734349
PM	86	84	2	34556	85	85	85	85	34135	29583	26925	26925	98.78	85.61	77.92	77.92	100	421	4973	7631	0	34135	14691168	131091	102971
PNC	86	84	2	34556	84	85	85	85	33729	24775	19937	19937	97.61	71.7	57.69	57.69	100	827	9781	14619	0	33729	15529748	72330	53852
PSX	86	84	2	34556	85	85	85	85	34135	25024	20011	20011	98.78	72.42	57.91	57.91	100	421	9532	14545	0	34135	15342358	70591	59520
PYPL	86	84	2	34556	85	85	85	85	34135	33151	32786	32786	98.78	95.93	94.88	94.88	100	421	1405	1770	0	34135	16299423	1441800	1077097
QCOM	86	84	2	34556	85	85	85	85	34135	33090	32672	32672	98.78	95.76	94.55	94.55	100	421	1466	1884	0	34135	19093889	726412	562066
QQQ	86	84	2	34556	85	85	85	85	34376	35649	33509	33509	99.48	103.16	96.97	96.97	100	180	0	1047	0	34376	156635739	61247502	43612034
RBLX	86	84	2	34556	85	85	85	85	34135	32713	32096	32096	98.78	94.67	92.88	92.88	100	421	1843	2460	0	34135	20523106	549825	384197
RF	86	84	2	34556	85	85	85	85	34150	18125	9156	9156	98.83	52.45	26.5	26.5	100	406	16431	25400	0	34150	4406916	23198	18947
RTX	86	84	2	34556	85	85	85	85	34150	31495	29854	29854	98.83	91.14	86.39	86.39	100	406	3061	4702	0	34150	12945734	253428	180850
SBUX	86	84	2	34556	85	85	85	85	34135	32987	32499	32499	98.78	95.46	94.05	94.05	100	421	1569	2057	0	34135	13366269	527509	351208
SCHW	86	84	2	34556	85	85	85	85	34120	30922	29317	29317	98.74	89.48	84.84	84.84	100	436	3634	5239	0	34120	13527661	248305	184213
SHOP	86	84	2	34556	85	85	85	85	34135	33010	32605	32605	98.78	95.53	94.35	94.35	100	421	1546	1951	0	34135	22840987	717454	589621
SLB	86	84	2	34556	85	85	85	85	34150	32093	30908	30908	98.83	92.87	89.44	89.44	100	406	2463	3648	0	34150	10692988	301549	213280
SNOW	86	84	2	34556	85	85	85	85	34135	33051	32625	32625	98.78	95.64	94.41	94.41	100	421	1505	1931	0	34135	24870448	913365	741478
SOFI	86	84	2	34556	85	85	85	85	34135	33150	32793	32793	98.78	95.93	94.9	94.9	100	421	1406	1763	0	34135	15428869	4489098	3338867
SPGI	86	84	2	34556	85	85	85	85	34150	20826	13799	13799	98.83	60.27	39.93	39.93	100	406	13730	20757	0	34150	21433040	47077	43230
SPY	86	84	2	34556	85	85	85	85	34288	35326	33950	33950	99.22	102.23	98.25	98.25	100	268	0	606	0	34288	202151210	101083726	70712431
TFC	86	84	2	34556	85	85	85	85	34150	21065	14025	14025	98.83	60.96	40.59	40.59	100	406	13491	20531	0	34150	4818730	43571	37146
TGT	86	84	2	34556	85	85	85	85	34150	33060	32646	32646	98.83	95.67	94.47	94.47	100	406	1496	1910	0	34150	16372901	713879	557226
TSLA	86	84	2	34556	85	85	85	85	34135	33163	32825	32825	98.78	95.97	94.99	94.99	100	421	1393	1731	0	34135	85644850	39022469	31234710
UBER	86	84	2	34556	85	85	85	85	34120	33128	32781	32781	98.74	95.87	94.86	94.86	100	436	1428	1775	0	34120	16271609	1286566	980042
UNH	86	84	2	34556	85	85	85	85	34135	33156	32795	32795	98.78	95.95	94.9	94.9	100	421	1400	1761	0	34135	34192784	2368226	1542720
UPST	86	84	2	34556	85	85	85	85	34150	32678	32015	32015	98.83	94.57	92.65	92.65	100	406	1878	2541	0	34150	16167039	433474	358538
USB	86	84	2	34556	85	85	85	85	34135	27631	22727	22727	98.78	79.96	65.77	65.77	100	421	6925	11829	0	34135	10406523	101692	78027
V	86	84	2	34556	85	85	85	85	34120	32948	32528	32528	98.74	95.35	94.13	94.13	100	436	1608	2028	0	34120	35173747	592970	416214
VLO	86	84	2	34556	85	85	85	85	34135	29412	26381	26381	98.78	85.11	76.34	76.34	100	421	5144	8175	0	34135	16244246	154659	124837
WFC	86	84	2	34556	85	85	85	85	34150	32781	32186	32186	98.83	94.86	93.14	93.14	100	406	1775	2370	0	34150	18354670	622615	441615
WMT	86	84	2	34556	85	85	85	85	34135	33137	32794	32794	98.78	95.89	94.9	94.9	100	421	1419	1762	0	34135	14496417	1631803	1303265
XOM	86	84	2	34556	85	85	85	85	34135	33069	32619	32619	98.78	95.7	94.39	94.39	100	421	1487	1937	0	34135	20214311	1308648	951779
